Gender,Future Setting,Future Place,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Strand
Male,Abroad,Work from anywhere,Numeracy,Written Communication,Team Work,Analytical Ability,Decision Making,TVL
Male,City,Flexibility,Self motivation,Analytical Ability,Verbal Communication,Problem Solving,Decision Making,GAS
Female,City,Stay in one place,Time Management,Creative Thinking,Numeracy,Creative Thinking,Problem Solving,GAS
Female,Suburban Area,Move Often,Verbal Communication,Negotiating,Flexibility,Leadership,Leadership,ABM
Male,Abroad,Move Often,Numeracy,Written Communication,Creative Thinking,Time Management,Team Work,TVL
Male,Flexible,Flexibility,Numeracy,Verbal Communication,Commercial Awareness,Leadership,Self motivation,TVL
Male,Flexible,Move Often,Numeracy,Self motivation,Negotiating,Self motivation,Time Management,STEM
Female,City,Move Often,Problem Solving,Flexibility,Commercial Awareness,Commercial Awareness,Decision Making,STEM
Male,City,Stay in one place,Verbal Communication,Negotiating,Team Work,Decision Making,Verbal Communication,HUMSS
Female,Rural Area,Work from anywhere,Decision Making,Self motivation,Leadership,Leadership,Written Communication,ABM
Male,Suburban Area,Stay in one place,Numeracy,Written Communication,Written Communication,Commercial Awareness,Numeracy,HUMSS
Female,Suburban Area,Work from anywhere,Team Work,Leadership,Leadership,Analytical Ability,Problem Solving,HUMSS
Female,Rural Area,Move Often,Problem Solving,Commercial Awareness,Decision Making,Flexibility,Self motivation,STEM
Female,Rural Area,Stay in one place,Written Communication,Decision Making,Analytical Ability,Self motivation,Verbal Communication,GAS
Female,City,Work from anywhere,Decision Making,Problem Solving,Commercial Awareness,Negotiating,Verbal Communication,GAS
Female,Abroad,Work from anywhere,Negotiating,Problem Solving,Flexibility,Self motivation,Flexibility,HUMSS
Male,Flexible,Stay in one place,Creative Thinking,Commercial Awareness,Analytical Ability,Numeracy,Analytical Ability,ABM
Female,Abroad,Stay in one place,Time Management,Problem Solving,Negotiating,Commercial Awareness,Problem Solving,GAS
Male,Abroad,Move Often,Negotiating,Analytical Ability,Creative Thinking,Self motivation,Written Communication,TVL
Female,Suburban Area,Stay in one place,Analytical Ability,Team Work,Verbal Communication,Numeracy,Analytical Ability,HUMSS
Male,City,Work from anywhere,Commercial Awareness,Self motivation,Analytical Ability,Flexibility,Negotiating,TVL
Male,City,Work from anywhere,Written Communication,Self motivation,Creative Thinking,Decision Making,Written Communication,HUMSS
Male,Flexible,Flexibility,Team Work,Analytical Ability,Flexibility,Creative Thinking,Written Communication,HUMSS
Female,City,Work from anywhere,Numeracy,Verbal Communication,Negotiating,Flexibility,Analytical Ability,TVL
Male,Rural Area,Work from anywhere,Commercial Awareness,Decision Making,Commercial Awareness,Numeracy,Time Management,GAS
Female,Suburban Area,Work from anywhere,Commercial Awareness,Problem Solving,Creative Thinking,Leadership,Leadership,HUMSS
Male,Flexible,Stay in one place,Written Communication,Analytical Ability,Negotiating,Team Work,Negotiating,ABM
Male,Abroad,Work from anywhere,Self motivation,Team Work,Decision Making,Leadership,Self motivation,STEM
Male,Flexible,Move Often,Leadership,Numeracy,Verbal Communication,Numeracy,Flexibility,STEM
Male,Suburban Area,Flexibility,Problem Solving,Numeracy,Commercial Awareness,Negotiating,Self motivation,TVL
Female,Suburban Area,Flexibility,Leadership,Self motivation,Team Work,Leadership,Verbal Communication,STEM
Female,Abroad,Move Often,Flexibility,Self motivation,Problem Solving,Self motivation,Written Communication,GAS
Male,Rural Area,Flexibility,Commercial Awareness,Leadership,Time Management,Verbal Communication,Written Communication,ABM
Male,Suburban Area,Flexibility,Problem Solving,Negotiating,Leadership,Self motivation,Decision Making,HUMSS
Male,Rural Area,Work from anywhere,Commercial Awareness,Negotiating,Time Management,Commercial Awareness,Time Management,TVL
Male,Rural Area,Move Often,Commercial Awareness,Negotiating,Numeracy,Verbal Communication,Flexibility,TVL
Male,Abroad,Flexibility,Verbal Communication,Time Management,Written Communication,Decision Making,Time Management,STEM
Male,Rural Area,Stay in one place,Team Work,Team Work,Team Work,Creative Thinking,Written Communication,STEM
Male,Suburban Area,Stay in one place,Flexibility,Negotiating,Team Work,Written Communication,Verbal Communication,ABM
Female,Suburban Area,Stay in one place,Commercial Awareness,Verbal Communication,Commercial Awareness,Decision Making,Verbal Communication,ABM
Female,Abroad,Flexibility,Negotiating,Numeracy,Commercial Awareness,Team Work,Leadership,GAS
Male,Flexible,Move Often,Commercial Awareness,Commercial Awareness,Creative Thinking,Negotiating,Flexibility,ABM
Female,City,Move Often,Leadership,Team Work,Leadership,Verbal Communication,Flexibility,HUMSS
Female,Suburban Area,Flexibility,Creative Thinking,Leadership,Analytical Ability,Written Communication,Problem Solving,HUMSS
Male,Abroad,Flexibility,Creative Thinking,Problem Solving,Negotiating,Numeracy,Verbal Communication,TVL
Male,City,Work from anywhere,Numeracy,Self motivation,Negotiating,Verbal Communication,Written Communication,ABM
Female,Suburban Area,Flexibility,Numeracy,Flexibility,Creative Thinking,Leadership,Flexibility,STEM
Female,City,Flexibility,Self motivation,Commercial Awareness,Analytical Ability,Self motivation,Leadership,GAS
Male,Flexible,Move Often,Team Work,Written Communication,Leadership,Time Management,Team Work,GAS
Male,Abroad,Move Often,Commercial Awareness,Self motivation,Creative Thinking,Creative Thinking,Leadership,STEM
Female,Rural Area,Stay in one place,Team Work,Verbal Communication,Leadership,Team Work,Verbal Communication,GAS
Female,Flexible,Stay in one place,Team Work,Flexibility,Self motivation,Numeracy,Flexibility,STEM
Female,City,Stay in one place,Team Work,Flexibility,Decision Making,Negotiating,Leadership,GAS
Female,City,Work from anywhere,Commercial Awareness,Flexibility,Team Work,Flexibility,Problem Solving,HUMSS
Male,Abroad,Move Often,Team Work,Analytical Ability,Verbal Communication,Verbal Communication,Analytical Ability,HUMSS
Female,Rural Area,Work from anywhere,Problem Solving,Numeracy,Problem Solving,Time Management,Analytical Ability,STEM
Male,City,Work from anywhere,Written Communication,Problem Solving,Time Management,Creative Thinking,Decision Making,ABM
Male,Suburban Area,Flexibility,Leadership,Decision Making,Commercial Awareness,Team Work,Analytical Ability,HUMSS
Female,City,Flexibility,Creative Thinking,Creative Thinking,Creative Thinking,Analytical Ability,Numeracy,STEM
Male,Flexible,Move Often,Numeracy,Numeracy,Decision Making,Commercial Awareness,Numeracy,HUMSS
Male,Suburban Area,Flexibility,Team Work,Self motivation,Creative Thinking,Written Communication,Negotiating,TVL
Male,City,Flexibility,Flexibility,Flexibility,Flexibility,Creative Thinking,Negotiating,ABM
Male,Rural Area,Move Often,Analytical Ability,Decision Making,Flexibility,Time Management,Negotiating,HUMSS
Male,Abroad,Flexibility,Verbal Communication,Problem Solving,Team Work,Team Work,Negotiating,HUMSS
Male,Flexible,Stay in one place,Verbal Communication,Time Management,Verbal Communication,Creative Thinking,Commercial Awareness,ABM
Female,Suburban Area,Stay in one place,Commercial Awareness,Self motivation,Analytical Ability,Numeracy,Creative Thinking,TVL
Female,Flexible,Move Often,Problem Solving,Numeracy,Decision Making,Team Work,Analytical Ability,GAS
Female,Abroad,Move Often,Negotiating,Commercial Awareness,Analytical Ability,Leadership,Problem Solving,ABM
Male,Suburban Area,Flexibility,Written Communication,Creative Thinking,Numeracy,Self motivation,Decision Making,HUMSS
Female,Flexible,Stay in one place,Self motivation,Problem Solving,Written Communication,Commercial Awareness,Written Communication,GAS
Female,Flexible,Flexibility,Time Management,Verbal Communication,Analytical Ability,Analytical Ability,Verbal Communication,HUMSS
Male,City,Move Often,Verbal Communication,Analytical Ability,Negotiating,Negotiating,Flexibility,TVL
Male,City,Stay in one place,Numeracy,Creative Thinking,Creative Thinking,Decision Making,Problem Solving,GAS
Male,Suburban Area,Stay in one place,Creative Thinking,Commercial Awareness,Flexibility,Creative Thinking,Flexibility,ABM
Male,Rural Area,Work from anywhere,Decision Making,Creative Thinking,Team Work,Team Work,Written Communication,GAS
Female,Rural Area,Work from anywhere,Written Communication,Analytical Ability,Self motivation,Written Communication,Creative Thinking,ABM
Female,City,Move Often,Problem Solving,Self motivation,Analytical Ability,Written Communication,Creative Thinking,ABM
Male,Suburban Area,Stay in one place,Written Communication,Verbal Communication,Self motivation,Written Communication,Flexibility,ABM
Female,City,Work from anywhere,Leadership,Numeracy,Commercial Awareness,Commercial Awareness,Flexibility,GAS
Female,Rural Area,Stay in one place,Self motivation,Flexibility,Time Management,Time Management,Analytical Ability,STEM
Female,Rural Area,Flexibility,Creative Thinking,Problem Solving,Time Management,Written Communication,Flexibility,STEM
Female,Flexible,Stay in one place,Flexibility,Flexibility,Leadership,Time Management,Creative Thinking,STEM
Female,City,Flexibility,Negotiating,Verbal Communication,Analytical Ability,Self motivation,Verbal Communication,GAS
Male,Abroad,Stay in one place,Analytical Ability,Problem Solving,Decision Making,Flexibility,Self motivation,TVL
Female,Flexible,Flexibility,Analytical Ability,Decision Making,Commercial Awareness,Problem Solving,Team Work,HUMSS
Female,City,Move Often,Creative Thinking,Team Work,Numeracy,Commercial Awareness,Flexibility,HUMSS
Male,Flexible,Work from anywhere,Numeracy,Analytical Ability,Numeracy,Verbal Communication,Negotiating,HUMSS
Male,Flexible,Move Often,Team Work,Flexibility,Leadership,Team Work,Negotiating,STEM
Female,Suburban Area,Stay in one place,Commercial Awareness,Self motivation,Team Work,Verbal Communication,Team Work,TVL
Male,City,Flexibility,Written Communication,Numeracy,Negotiating,Negotiating,Written Communication,GAS
Male,Flexible,Work from anywhere,Decision Making,Written Communication,Analytical Ability,Verbal Communication,Verbal Communication,HUMSS
Male,Suburban Area,Move Often,Problem Solving,Time Management,Creative Thinking,Analytical Ability,Decision Making,STEM
Female,Suburban Area,Work from anywhere,Flexibility,Team Work,Analytical Ability,Flexibility,Negotiating,HUMSS
Male,Abroad,Work from anywhere,Written Communication,Verbal Communication,Time Management,Team Work,Problem Solving,TVL
Female,Suburban Area,Move Often,Commercial Awareness,Flexibility,Leadership,Self motivation,Self motivation,STEM
Female,City,Flexibility,Leadership,Time Management,Creative Thinking,Leadership,Leadership,HUMSS
Female,Abroad,Stay in one place,Creative Thinking,Creative Thinking,Numeracy,Self motivation,Analytical Ability,STEM
Male,Rural Area,Move Often,Negotiating,Team Work,Time Management,Problem Solving,Commercial Awareness,ABM
Male,Rural Area,Flexibility,Written Communication,Problem Solving,Numeracy,Verbal Communication,Analytical Ability,STEM
Female,Flexible,Work from anywhere,Self motivation,Written Communication,Creative Thinking,Time Management,Team Work,STEM
Female,Rural Area,Stay in one place,Numeracy,Commercial Awareness,Decision Making,Team Work,Decision Making,ABM
Female,Abroad,Work from anywhere,Decision Making,Creative Thinking,Decision Making,Leadership,Flexibility,STEM
Female,Flexible,Stay in one place,Numeracy,Written Communication,Written Communication,Leadership,Decision Making,GAS
Male,Flexible,Stay in one place,Decision Making,Problem Solving,Analytical Ability,Problem Solving,Written Communication,ABM
Female,Rural Area,Work from anywhere,Creative Thinking,Team Work,Leadership,Analytical Ability,Time Management,STEM
Female,Flexible,Flexibility,Time Management,Creative Thinking,Analytical Ability,Commercial Awareness,Negotiating,GAS
Female,Abroad,Move Often,Numeracy,Negotiating,Creative Thinking,Team Work,Self motivation,TVL
Female,City,Work from anywhere,Self motivation,Decision Making,Analytical Ability,Verbal Communication,Creative Thinking,GAS
Female,Abroad,Flexibility,Problem Solving,Time Management,Flexibility,Problem Solving,Commercial Awareness,STEM
Female,Abroad,Stay in one place,Team Work,Numeracy,Time Management,Creative Thinking,Team Work,TVL
Female,Abroad,Flexibility,Analytical Ability,Creative Thinking,Commercial Awareness,Creative Thinking,Commercial Awareness,ABM
Female,City,Flexibility,Time Management,Time Management,Analytical Ability,Flexibility,Commercial Awareness,ABM
Male,Rural Area,Move Often,Creative Thinking,Written Communication,Flexibility,Problem Solving,Negotiating,TVL
Female,Rural Area,Flexibility,Negotiating,Leadership,Numeracy,Time Management,Leadership,GAS
Male,Suburban Area,Stay in one place,Numeracy,Decision Making,Leadership,Analytical Ability,Written Communication,STEM
Female,Abroad,Work from anywhere,Time Management,Time Management,Written Communication,Verbal Communication,Flexibility,ABM
Female,Flexible,Work from anywhere,Problem Solving,Creative Thinking,Written Communication,Leadership,Verbal Communication,STEM
Female,Flexible,Move Often,Problem Solving,Analytical Ability,Written Communication,Negotiating,Leadership,ABM
Male,Abroad,Work from anywhere,Leadership,Team Work,Problem Solving,Self motivation,Creative Thinking,GAS
Female,Rural Area,Work from anywhere,Numeracy,Team Work,Problem Solving,Analytical Ability,Time Management,TVL
Male,Flexible,Stay in one place,Numeracy,Written Communication,Written Communication,Problem Solving,Team Work,TVL
Female,Abroad,Flexibility,Analytical Ability,Time Management,Team Work,Commercial Awareness,Numeracy,ABM
Male,Flexible,Work from anywhere,Creative Thinking,Problem Solving,Verbal Communication,Commercial Awareness,Commercial Awareness,STEM
Male,Flexible,Flexibility,Negotiating,Written Communication,Commercial Awareness,Flexibility,Verbal Communication,TVL
Male,Abroad,Flexibility,Verbal Communication,Flexibility,Verbal Communication,Commercial Awareness,Time Management,HUMSS
Female,City,Work from anywhere,Analytical Ability,Team Work,Analytical Ability,Analytical Ability,Commercial Awareness,GAS
Female,Rural Area,Move Often,Numeracy,Written Communication,Creative Thinking,Leadership,Negotiating,ABM
Female,Suburban Area,Flexibility,Verbal Communication,Time Management,Creative Thinking,Negotiating,Analytical Ability,TVL
Male,City,Stay in one place,Leadership,Negotiating,Numeracy,Numeracy,Problem Solving,STEM
Female,Abroad,Stay in one place,Written Communication,Self motivation,Leadership,Verbal Communication,Time Management,ABM
Female,City,Stay in one place,Flexibility,Verbal Communication,Numeracy,Written Communication,Time Management,TVL
Male,Abroad,Work from anywhere,Self motivation,Negotiating,Commercial Awareness,Numeracy,Creative Thinking,TVL
Female,Abroad,Flexibility,Negotiating,Analytical Ability,Self motivation,Self motivation,Written Communication,STEM
Female,Suburban Area,Stay in one place,Problem Solving,Team Work,Written Communication,Self motivation,Flexibility,GAS
Male,Flexible,Work from anywhere,Commercial Awareness,Self motivation,Flexibility,Creative Thinking,Numeracy,ABM
Male,Flexible,Work from anywhere,Commercial Awareness,Decision Making,Verbal Communication,Verbal Communication,Self motivation,STEM
Female,Abroad,Move Often,Numeracy,Problem Solving,Written Communication,Commercial Awareness,Time Management,HUMSS
Female,Rural Area,Flexibility,Creative Thinking,Analytical Ability,Creative Thinking,Written Communication,Negotiating,ABM
Male,Rural Area,Work from anywhere,Flexibility,Leadership,Time Management,Commercial Awareness,Negotiating,GAS
Female,Flexible,Work from anywhere,Flexibility,Verbal Communication,Commercial Awareness,Flexibility,Creative Thinking,HUMSS
Male,Flexible,Stay in one place,Flexibility,Negotiating,Written Communication,Verbal Communication,Decision Making,ABM
Male,Rural Area,Move Often,Commercial Awareness,Creative Thinking,Problem Solving,Numeracy,Verbal Communication,TVL
Female,Suburban Area,Flexibility,Flexibility,Commercial Awareness,Numeracy,Commercial Awareness,Leadership,STEM
Male,Abroad,Stay in one place,Team Work,Decision Making,Creative Thinking,Negotiating,Negotiating,TVL
Male,Rural Area,Work from anywhere,Numeracy,Problem Solving,Decision Making,Flexibility,Creative Thinking,ABM
Female,Rural Area,Flexibility,Negotiating,Decision Making,Self motivation,Self motivation,Creative Thinking,HUMSS
Female,Flexible,Move Often,Creative Thinking,Numeracy,Self motivation,Self motivation,Flexibility,GAS
Male,Suburban Area,Work from anywhere,Written Communication,Analytical Ability,Negotiating,Analytical Ability,Creative Thinking,TVL
Female,City,Work from anywhere,Creative Thinking,Analytical Ability,Problem Solving,Problem Solving,Commercial Awareness,HUMSS
Male,Abroad,Work from anywhere,Flexibility,Decision Making,Flexibility,Self motivation,Self motivation,STEM
Male,City,Move Often,Numeracy,Time Management,Self motivation,Verbal Communication,Written Communication,HUMSS
Male,Rural Area,Move Often,Self motivation,Analytical Ability,Verbal Communication,Self motivation,Commercial Awareness,TVL
Male,Suburban Area,Move Often,Self motivation,Numeracy,Analytical Ability,Negotiating,Numeracy,STEM
Female,Abroad,Move Often,Leadership,Decision Making,Time Management,Numeracy,Leadership,ABM
Male,Rural Area,Stay in one place,Time Management,Decision Making,Flexibility,Flexibility,Decision Making,HUMSS
Female,Rural Area,Move Often,Numeracy,Verbal Communication,Analytical Ability,Problem Solving,Leadership,ABM
Female,Rural Area,Move Often,Problem Solving,Flexibility,Flexibility,Negotiating,Written Communication,GAS
Male,City,Flexibility,Written Communication,Team Work,Leadership,Team Work,Decision Making,ABM
Male,City,Move Often,Analytical Ability,Self motivation,Creative Thinking,Problem Solving,Decision Making,HUMSS
Male,Suburban Area,Move Often,Commercial Awareness,Decision Making,Time Management,Leadership,Team Work,HUMSS
Male,City,Work from anywhere,Analytical Ability,Negotiating,Written Communication,Team Work,Decision Making,ABM
Female,Abroad,Flexibility,Leadership,Negotiating,Numeracy,Decision Making,Commercial Awareness,GAS
Female,Abroad,Move Often,Verbal Communication,Creative Thinking,Creative Thinking,Flexibility,Verbal Communication,TVL
Female,Rural Area,Move Often,Commercial Awareness,Time Management,Analytical Ability,Team Work,Decision Making,ABM
Female,Flexible,Move Often,Problem Solving,Analytical Ability,Decision Making,Decision Making,Verbal Communication,STEM
Male,City,Flexibility,Leadership,Problem Solving,Commercial Awareness,Problem Solving,Flexibility,STEM
Male,City,Move Often,Team Work,Team Work,Verbal Communication,Decision Making,Numeracy,HUMSS
Male,Suburban Area,Work from anywhere,Problem Solving,Team Work,Creative Thinking,Negotiating,Self motivation,ABM
Male,Abroad,Move Often,Numeracy,Decision Making,Commercial Awareness,Self motivation,Verbal Communication,GAS
Male,Flexible,Move Often,Problem Solving,Commercial Awareness,Numeracy,Verbal Communication,Flexibility,STEM
Female,Suburban Area,Move Often,Self motivation,Self motivation,Time Management,Numeracy,Leadership,TVL
Female,Flexible,Move Often,Verbal Communication,Decision Making,Self motivation,Time Management,Time Management,TVL
Male,Flexible,Flexibility,Problem Solving,Team Work,Self motivation,Verbal Communication,Negotiating,TVL
Female,Suburban Area,Stay in one place,Time Management,Commercial Awareness,Self motivation,Self motivation,Creative Thinking,GAS
Female,Abroad,Stay in one place,Flexibility,Commercial Awareness,Decision Making,Self motivation,Written Communication,TVL
Female,Suburban Area,Work from anywhere,Negotiating,Problem Solving,Negotiating,Written Communication,Leadership,HUMSS
Female,City,Move Often,Negotiating,Time Management,Self motivation,Problem Solving,Commercial Awareness,STEM
Male,Suburban Area,Move Often,Problem Solving,Analytical Ability,Verbal Communication,Flexibility,Numeracy,STEM
Female,Abroad,Move Often,Commercial Awareness,Problem Solving,Numeracy,Team Work,Written Communication,HUMSS
Male,Rural Area,Move Often,Numeracy,Self motivation,Creative Thinking,Decision Making,Creative Thinking,ABM
Male,Abroad,Flexibility,Commercial Awareness,Problem Solving,Time Management,Problem Solving,Self motivation,ABM
Male,Flexible,Move Often,Commercial Awareness,Verbal Communication,Flexibility,Numeracy,Decision Making,HUMSS
Male,Flexible,Move Often,Leadership,Leadership,Decision Making,Self motivation,Written Communication,HUMSS
Female,Suburban Area,Work from anywhere,Flexibility,Analytical Ability,Commercial Awareness,Numeracy,Analytical Ability,HUMSS
Female,Abroad,Move Often,Numeracy,Flexibility,Problem Solving,Negotiating,Numeracy,ABM
Female,City,Stay in one place,Numeracy,Analytical Ability,Numeracy,Analytical Ability,Leadership,GAS
Male,Flexible,Work from anywhere,Creative Thinking,Time Management,Leadership,Negotiating,Analytical Ability,STEM
Female,Rural Area,Work from anywhere,Creative Thinking,Creative Thinking,Problem Solving,Creative Thinking,Problem Solving,STEM
Female,Flexible,Stay in one place,Team Work,Team Work,Commercial Awareness,Numeracy,Self motivation,HUMSS
Female,Suburban Area,Move Often,Decision Making,Decision Making,Commercial Awareness,Flexibility,Time Management,TVL
Female,City,Work from anywhere,Analytical Ability,Flexibility,Creative Thinking,Flexibility,Creative Thinking,ABM
Male,Rural Area,Stay in one place,Analytical Ability,Written Communication,Problem Solving,Decision Making,Time Management,HUMSS
Male,Flexible,Work from anywhere,Flexibility,Commercial Awareness,Creative Thinking,Negotiating,Flexibility,GAS
Male,Flexible,Move Often,Decision Making,Commercial Awareness,Creative Thinking,Flexibility,Time Management,STEM
Female,Flexible,Move Often,Team Work,Analytical Ability,Leadership,Negotiating,Negotiating,ABM
Male,Rural Area,Work from anywhere,Decision Making,Flexibility,Verbal Communication,Numeracy,Verbal Communication,ABM
Female,Abroad,Stay in one place,Verbal Communication,Team Work,Team Work,Team Work,Leadership,ABM
Female,City,Flexibility,Commercial Awareness,Time Management,Decision Making,Analytical Ability,Flexibility,ABM
Male,Suburban Area,Move Often,Numeracy,Verbal Communication,Numeracy,Verbal Communication,Negotiating,TVL
Male,Rural Area,Move Often,Team Work,Team Work,Verbal Communication,Negotiating,Problem Solving,HUMSS
